material_ID,Materialkategorie,UUID-Nummer,material_name,ID-Nummer Entsorgung,Entsorgung,Rohdichte (kg/m3),Bezug,Total (UBP) ,Herstellung (UBP) ,Entsorgung (UBP) ,Primärenergie Gesamt Total (kWh oil-eq) ,Primärenergie Gesamt Herstellung (kWh oil-eq),Primärenergie Gesamt Herstellung energetisch genutzt (kWh oil-eq),Primärenergie Gesamt Herstellung stofflich genutzt (kWh oil-eq),Primärenergie Gesamt Entsorgung (kWh oil-eq),Primärenergie erneuerbar Total (kWh oil-eq),Primärenergie erneuerbar Herstellung Total (kwh oil-eq),Primärenergie erneuerbar Herstellung energetisch genutzt (kWh oil-eq),Primärenergie erneuerbar Herstellung stofflich genutzt (kWh oil-eq),Primärenergie Entsorgung (kWh oil-eq),Primärenergie nicht erneuerbar Total (kWh oil-eq),Primärenergie nicht erneuerbar Herstellung Total (kWh oil-eq),Primärenergie nicht erneuerbar Herstellung energetisch genutzt (kWh oil-eq),Primärenergie nicht erneuerbar Herstellung stofflich genutzt (kWh oil-eq),Primärenergie nicht erneuerbar Entsorgung (kWh oil-eq),Treibhausgasemissionen Total (kg CO2-eq),Treibhausgasemissionen Herstellung (kg CO2-eq),Treibhausgasemissionen Entsorgung (kg CO2-eq),Biogener Kohlenstoff im Produkt enthalten (kg C),Kommentar
4.012,Mörtel und Putze,324E5DE0-FEB1-49C3-9188-F1AA0E119514,Silikonharzputz,91.139,"Entsorgung, Mörtel, Putze",1’670,kg,2010,1970,42.7,6.45,6,6,0,0,0.36,0,0,0,0,6.09,6,6,0,0,1.14,1.13,0.0129,0,
4.016,Mörtel und Putze,333331BA-98CA-49BD-887A-D65AA4D5B2C4,Sumpfkalkputz,91.139,"Entsorgung, Mörtel, Putze",1’350,kg,747,704,42.7,1.9,2,2,0,0,0.13,0,0,0,0,1.77,2,2,0,0,0.511,0.498,0.0129,0,
4.005,Mörtel und Putze,3B956811-9D40-452C-BAC2-FBA122630C43,"Unterlagsboden Anhydrit, 60 mm",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",2’000,kg,216,173,42.7,0.46,0,0,0,0,0.03,0,0,0,0,0.43,0,0,0,0,0.0916,0.0788,0.0128,0,
4.006,Mörtel und Putze,B0F22D3F-709D-408F-9ACA-1533FA4C7F45,"Unterlagsboden Zement, 85 mm",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",1’850,kg,206,163,42.7,0.27,0,0,0,0,0.04,0,0,0,0,0.23,0,0,0,0,0.12,0.108,0.0128,0,
4.007,Mörtel und Putze,E68F96C7-984A-47B5-B17C-B2806BD1CF1C,Wärmedämmputz EPS,91.139,"Entsorgung, Mörtel, Putze",250,kg,965,922,42.7,1.94,2,1,0,0,0.15,0,0,0,0,1.79,2,1,0,0,0.727,0.715,0.0129,0,
4.014,Mörtel und Putze,223F00DA-C2D9-4971-879F-F391648A0155,Weisszementputz,91.139,"Entsorgung, Mörtel, Putze",1’550,kg,508,465,42.7,1.04,1,1,0,0,0.14,0,0,0,0,0.9,1,1,0,0,0.354,0.341,0.0129,0,
4.009,Mörtel und Putze,382D5231-E4CF-42D6-B935-D41BA653E3EE,Zementputz,91.139,"Entsorgung, Mörtel, Putze",1’550,kg,392,349,42.7,0.78,1,1,0,0,0.13,0,0,0,0,0.66,1,1,0,0,0.261,0.249,0.0129,0,
5.008,"Fenster, Sonnenschutz, Fassadenverkleidungen",297C8AF9-6B6F-47A2-9F51-A0D37EFCB892,"Fassade, Pfosten-Riegel, Alu/Glas 1",91.135,"Entsorgung, Fassade, Pfosten-Riegel, Alu/Glas",,m2,349’000,334’000,15’500,798,792,792,0,6,74,74,74,0,0,723,718,718,0,5,193,180,13,0,
5.022,"Fenster, Sonnenschutz, Fassadenverkleidungen",5905B6AD-722F-40CB-9877-57D366B4ABF4,"Fassadenplatte, Aluverbund, 4 mm",91.103,"Entsorgung, Fassadenplatte, Aluverbund, 4 mm",7.1,m2,74’900,66’700,8’270,216,215,215,0,1,24,24,24,0,0,192,192,192,0,1,43,36,8,0,
5.023,"Fenster, Sonnenschutz, Fassadenverkleidungen",4722E1EF-E1A5-470C-8310-F4DC0300F7F3,"Fassadenplatte, Hochdrucklaminatplatte (HPL), 8.1 mm",91.106,"Entsorgung, HPL-Fassadenplatten",11.6,m2,73’400,58’400,15’000,282,278,215,63,3,84,84,47,37,0,198,195,168,27,3,46,33,13,3,
